,Player,Year,Shift%,PlayerYear
1531,Howie Kendrick,2015.0,0.06,2015 Howie Kendrick
1532,Yolmer Sanchez,2017.0,0.05600000000000001,2017 Yolmer Sanchez
1533,Tommy Joseph,2016.0,0.084,2016 Tommy Joseph
1534,Brandon Lowe,2018.0,0.19100000000000003,2018 Brandon Lowe
1535,Odubel Herrera,2017.0,0.05099999999999998,2017 Odubel Herrera
1536,Angel Pagan,2016.0,0.052000000000000005,2016 Angel Pagan
1537,Nicky Lopez,2019.0,0.07200000000000001,2019 Nicky Lopez
1538,JB Shuck,2015.0,0.17700000000000002,2015 JB Shuck
1539,Yunel Escobar,2015.0,0.055,2015 Yunel Escobar
1540,Pedro Alvarez,2017.0,0.852,2017 Pedro Alvarez
1541,Evan Gattis,2017.0,0.09699999999999999,2017 Evan Gattis
1542,Adeiny Hechavarria,2016.0,0.05400000000000001,2016 Adeiny Hechavarria
1543,Tyler Collins,2015.0,0.14400000000000002,2015 Tyler Collins
1544,Dan Straily,2017.0,0.486,2017 Dan Straily
1545,Jose Martinez,2018.0,0.045,2018 Jose Martinez
1546,Dansby Swanson,2018.0,0.05,2018 Dansby Swanson
1547,Marcell Ozuna,2016.0,0.047999999999999994,2016 Marcell Ozuna
1548,Jeff Francoeur,2015.0,0.09,2015 Jeff Francoeur
1549,Wilmer Difo,2017.0,0.079,2017 Wilmer Difo
1550,Kevin Plawecki,2015.0,0.11100000000000003,2015 Kevin Plawecki
1551,Jonathan Lucroy,2018.0,0.06,2018 Jonathan Lucroy
1552,John Lackey,2015.0,0.455,2015 John Lackey
1553,Jean Segura,2018.0,0.04699999999999999,2018 Jean Segura
1554,Corey Dickerson,2015.0,0.11499999999999999,2015 Corey Dickerson
1555,David Dahl,2016.0,0.11299999999999999,2016 David Dahl
1556,Jim Adduci,2018.0,0.151,2018 Jim Adduci
1557,Luis Arraez,2019.0,0.069,2019 Luis Arraez
1558,Sean Rodriguez,2015.0,0.12,2015 Sean Rodriguez
1559,Orlando Arcia,2017.0,0.05099999999999998,2017 Orlando Arcia
1560,Jared Hoying,2017.0,0.35700000000000004,2017 Jared Hoying
1561,Ivan Nova,2017.0,0.48299999999999993,2017 Ivan Nova
1562,Scooter Gennett,2015.0,0.07400000000000001,2015 Scooter Gennett
1563,Max Scherzer,2016.0,0.365,2016 Max Scherzer
1564,Joe Panik,2015.0,0.063,2015 Joe Panik
1565,Ben Paulsen,2016.0,0.272,2016 Ben Paulsen
1566,Jose Peraza,2018.0,0.04400000000000001,2018 Jose Peraza
1567,C.J. Cron,2016.0,0.059000000000000004,2016 C.J. Cron
1568,Jose Iglesias,2017.0,0.05400000000000001,2017 Jose Iglesias
1569,Dan Haren,2015.0,0.451,2015 Dan Haren
1570,Ronald Torreyes,2017.0,0.09,2017 Ronald Torreyes
1571,Johnny Giavotella,2016.0,0.079,2016 Johnny Giavotella
1572,Ryan Braun,2015.0,0.045,2015 Ryan Braun
1573,Derek Fisher,2017.0,0.14400000000000002,2017 Derek Fisher
1574,Victor Reyes,2018.0,0.116,2018 Victor Reyes
1575,Brian Goodwin,2017.0,0.083,2017 Brian Goodwin
1576,Tanner Roark,2016.0,0.36200000000000004,2016 Tanner Roark
1577,Jose Iglesias,2018.0,0.055,2018 Jose Iglesias
