Year,Player,Team,Games,PA,SB,ISO,Babip,CS,Spd,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone
2018.0,Aaron Judge,Yankees,112.0,498.0,6.0,0.249,0.368,3.0,3.0,1.19,23.3,41.7,35.0,5.4,29.0,9.0,0.0,40.2,31.2,28.6,13.5,38.3,48.1,25.1,63.8,40.3,44.1,79.1,65.9,39.3
2019.0,Aaron Judge,Yankees,102.0,447.0,3.0,0.267,0.36,2.0,3.6,1.25,27.3,40.3,32.4,2.6,35.1,6.3,0.0,38.7,34.5,26.9,9.2,37.0,53.8,24.6,68.1,41.9,40.3,78.6,65.1,39.8
2015.0,Giancarlo Stanton,Marlins,74.0,318.0,4.0,0.341,0.294,2.0,3.9,0.77,20.3,34.8,44.9,13.1,32.1,7.7,0.0,47.1,31.0,21.9,16.0,34.2,49.7,31.0,64.3,45.2,45.8,78.7,65.8,42.8
2016.0,Giancarlo Stanton,Marlins,119.0,470.0,0.0,0.249,0.29,0.0,1.8,0.92,16.7,40.0,43.3,11.8,22.7,7.3,0.0,40.4,37.1,22.5,17.1,40.0,42.9,32.3,67.3,46.2,46.6,81.4,66.7,39.6
2017.0,Giancarlo Stanton,Marlins,159.0,692.0,2.0,0.35,0.288,2.0,2.3,1.13,16.0,44.6,39.4,16.9,34.3,5.6,0.0,44.6,35.2,20.1,20.8,40.3,38.9,27.4,65.8,42.9,52.4,81.5,70.4,40.5
2018.0,Giancarlo Stanton,Yankees,158.0,705.0,5.0,0.243,0.333,0.0,3.8,1.23,18.5,45.0,36.5,13.2,25.0,12.8,0.0,38.9,37.0,24.0,19.0,38.7,42.3,32.5,65.3,44.9,52.2,80.5,67.8,37.9
2019.0,Giancarlo Stanton,Yankees,18.0,72.0,0.0,0.203,0.424,0.0,0.7,1.33,22.2,44.4,33.3,16.7,25.0,18.8,0.0,44.4,38.9,16.7,27.8,30.6,41.7,30.3,56.4,40.0,55.0,78.8,67.5,37.1
2015.0,J.T. Realmuto,Marlins,126.0,467.0,8.0,0.147,0.285,4.0,5.8,1.32,21.3,44.8,33.9,5.5,7.9,9.5,0.0,38.0,37.0,25.0,20.5,50.3,29.3,34.1,68.2,50.1,76.2,91.8,86.2,46.9
2016.0,J.T. Realmuto,Marlins,137.0,545.0,12.0,0.126,0.357,4.0,3.7,1.62,20.4,49.3,30.3,16.0,8.8,10.8,0.0,41.0,34.5,24.5,21.1,49.0,29.9,32.5,66.4,48.1,70.7,89.1,82.4,46.0
2017.0,J.T. Realmuto,Marlins,141.0,579.0,8.0,0.173,0.318,2.0,5.0,1.39,17.9,47.8,34.3,5.4,11.6,10.2,0.0,46.6,35.2,18.2,14.9,51.7,33.3,32.5,65.4,48.3,69.1,89.3,82.2,48.0
2018.0,J.T. Realmuto,Marlins,125.0,531.0,3.0,0.208,0.312,2.0,4.1,1.06,22.8,39.8,37.4,10.6,14.9,10.0,0.0,45.1,35.3,19.6,18.0,43.5,38.5,29.9,67.8,47.0,63.9,86.9,78.9,45.2
2019.0,J.T. Realmuto,Phillies,145.0,593.0,9.0,0.217,0.309,1.0,5.5,1.04,23.4,39.0,37.6,8.8,15.7,9.1,0.0,44.2,31.7,24.1,14.2,40.2,45.6,34.8,73.1,50.7,66.2,86.2,78.2,41.5
2015.0,Kyle Seager,Mariners,161.0,686.0,6.0,0.185,0.278,6.0,2.6,0.86,24.0,35.2,40.8,9.8,12.1,3.8,50.0,44.4,31.8,23.8,12.5,54.4,33.1,29.4,64.2,45.6,69.5,90.8,83.4,46.4
2016.0,Kyle Seager,Mariners,158.0,676.0,3.0,0.221,0.295,1.0,3.4,0.86,21.9,36.1,42.0,7.3,14.6,1.7,66.7,40.1,31.6,28.3,14.7,46.6,38.7,26.9,62.1,42.5,71.1,88.9,82.6,44.5
2017.0,Kyle Seager,Mariners,154.0,650.0,2.0,0.201,0.262,1.0,2.2,0.61,17.1,31.3,51.6,5.0,11.2,6.8,60.0,40.1,35.2,24.7,13.1,51.3,35.7,25.3,63.3,42.8,65.0,86.7,79.8,46.2
2018.0,Kyle Seager,Mariners,155.0,630.0,2.0,0.178,0.251,2.0,2.6,0.76,21.4,33.9,44.6,8.5,11.0,3.3,0.0,44.1,35.6,20.3,11.1,51.9,37.0,29.1,70.9,47.1,63.1,87.4,78.8,43.0
2019.0,Kyle Seager,Mariners,106.0,443.0,2.0,0.229,0.248,2.0,2.6,0.75,23.4,32.8,43.8,8.1,17.0,5.9,100.0,39.2,36.6,24.3,11.3,50.8,37.9,27.6,70.1,45.3,66.9,88.2,80.6,41.7
2015.0,Brian Dozier,Twins,157.0,704.0,12.0,0.209,0.261,4.0,5.6,0.76,22.6,33.3,44.1,19.7,13.1,10.6,75.0,60.2,24.2,15.6,18.9,52.0,29.2,29.7,64.3,44.7,69.0,86.4,79.8,43.2
2016.0,Brian Dozier,Twins,155.0,691.0,18.0,0.278,0.28,2.0,6.1,0.76,15.9,36.4,47.7,13.2,18.4,10.9,33.3,56.4,28.3,15.3,18.2,47.1,34.7,29.1,63.9,43.8,68.8,85.4,79.0,42.2
2017.0,Brian Dozier,Twins,152.0,705.0,16.0,0.227,0.3,7.0,5.2,0.9,19.0,38.4,42.6,13.4,16.8,7.1,50.0,50.4,32.0,17.6,15.9,50.0,34.1,23.4,62.5,41.5,63.7,83.8,77.7,46.4
2018.0,Brian Dozier,2 Teams,151.0,632.0,12.0,0.175,0.24,3.0,4.9,0.9,16.8,39.5,43.7,17.1,11.2,7.7,100.0,49.9,33.8,16.3,17.0,45.7,37.3,22.5,60.5,39.6,65.4,85.7,79.4,45.0
2019.0,Brian Dozier,Nationals,135.0,482.0,3.0,0.192,0.271,4.0,1.9,0.8,20.6,35.4,44.1,15.3,14.6,6.4,100.0,54.2,26.0,19.9,18.3,42.9,38.8,22.3,62.2,39.1,61.0,84.7,76.9,42.1
